@relation 'Domains 05.11.2020 12:35:42'

@attribute DomainLength numeric
@attribute NumberDigits numeric
@attribute NumberVowels numeric
@attribute NumberConsonants numeric
@attribute NumberSpecialCharacters numeric
@attribute NumberUniqueCharacter numeric
@attribute NumberRepetitions numeric
@attribute LengthDigitsSequence numeric
@attribute LengthVowelsSequence numeric
@attribute LengthConsonantSequence numeric
@attribute LengthSpecialCharactersSequence numeric
@attribute RatioDigitToLength numeric
@attribute RatioVowelsToLength numeric
@attribute RatioConsonantsToLength numeric
@attribute RatioSpecialCharactersToLength numeric
@attribute RatioVowelsToConsonants numeric
@attribute RatioUniqueCharacterToLength numeric
@attribute FrequencyRepeat numeric
@attribute FrequencyNgram2 numeric
@attribute FrequencyNgram3 numeric
@attribute FrequencyNgram4 numeric
@attribute FrequencyNgram5 numeric
@attribute class {0,1}

@data
15,0,6,8,0,12,7,0,2,2,0,0,0.4,0.533333,0,0.75,0.8,1,-2.714469,-5.983383,-6.878134,-6,0
11,0,4,6,0,9,5,0,2,2,0,0,0.363636,0.545455,0,0.666667,0.818182,1,-2.485306,-3.420262,-4.488609,-3,0
14,0,7,6,0,11,8,0,2,1,0,0,0.5,0.428571,0,1.166667,0.785714,1,-1.068924,-1.439379,-4.848326,-5,0
15,0,5,9,0,12,6,0,1,2,0,0,0.333333,0.6,0,0.555556,0.8,1,-3.054943,-4.971469,-4.652704,-9.733333,0
13,0,6,5,0,10,8,0,2,2,0,0,0.461538,0.384615,0,1.2,0.769231,1.083333,-3.342853,-5.067498,-2.308899,-5,0
14,0,6,7,0,11,7,0,2,2,0,0,0.428571,0.5,0,0.857143,0.785714,1.076923,-2.214669,-3.466241,-4.453562,-6,0
13,0,4,8,0,12,5,0,1,2,0,0,0.307692,0.615385,0,0.5,0.923077,1,-2.209114,-2.59914,-3.542777,-4,0
13,0,4,8,0,12,5,0,1,3,0,0,0.307692,0.615385,0,0.5,0.923077,1,-0.344904,-1.47155,-2.865037,-5,0
15,0,5,8,0,11,7,0,1,2,0,0,0.333333,0.533333,0,0.625,0.733333,1.142857,-3.156221,-3.911663,-8.299472,-7,0
14,0,6,7,0,12,7,0,2,2,0,0,0.428571,0.5,0,0.857143,0.857143,1,-0.970958,-3.407848,-4.376327,-4.333333,0
