go;0,0183200045374625
oo;-0,120635725758728
og;-0,063183746371958
gl;0,00517513754970866
fa;-0,0505557749816622
ac;0,0336833426291923
ce;0,277511066774736
eb;-0,0412366606648807
bo;-0,0941503504955281
yo;0,137664959976924
ou;0,0299935719396975
ut;-0,179432573767776
tu;-0,132811906750702
ub;-0,0692058346839546
ba;-0,422316885575671
ai;-0,0277972585272553
id;-0,152909629565556
ya;0,215240482157775
ah;-0,140878512069648
ho;-0,304593172517221
am;-0,258635443691338
ma;-0,393728405860485
az;-0,63478506388085
zo;-0,187399355877617
wi;0,300038884028385
ik;0,0755144169940734
ki;-0,009774775846077
ip;-0,0746693642051628
pe;0,114670684215015
ed;0,0801279837948576
di;-0,171441365927593
tw;0,20404150737302
it;-0,104631495791851
tt;0,294349852563493
te;-0,125081011017498
ta;-0,161292116605645
ao;0,320403099204942
ob;-0,29103733012214
le;-0,142864993588569
e.;-0,927595896229497
.c;-0,712780609423852
li;-0,378639736412097
iv;-0,104094827586207
si;-0,135318774517592
in;-0,246325197840716
na;-0,396942375539004
a.;-0,910791578020688
co;-0,287882239227734
nk;-0,0501321510785233
ke;0,0353503126652204
o.;-0,864003590664273
we;0,109110077948115
ei;0,518497879322622
ib;-0,0398243337658449
bi;-0,209644482716201
an;-0,209049641388893
nd;0,0957825753252119
de;-0,0694215020495206
ha;-0,00377358490566038
o1;0,865551522802588
12;0,525590551181102
tm;-0,0501102733753911
al;-0,464584630282908
ms;0,423478602277189
ns;-0,0404177429245721
st;-0,112304556547859
ag;-0,00462460747930349
gr;-0,0494222844676668
ra;-0,235820583313411
on;-0,154925452609159
n.;-0,864418769158217
pi;-0,176923297820406
nt;-0,0476219755895102
er;-0,189514445557782
re;-0,0124909908790417
es;-0,00960286557821965
nc;0,185349961465704
cl;0,0249415018081258
ic;-0,0902856436765039
ck;0,176027487775869
ka;-0,126124509829049
ad;-0,345111592002842
dd;0,47624251886547
pa;-0,184874332892396
ay;0,00873322581626756
yp;0,160720694853205
wo;0,0824227846157783
or;-0,347467036780014
rd;-0,108006921503854
dp;0,230072241949308
pr;-0,0583596214511041
ie;-0,0415489853558193
ex;-0,0639701306782825
xp;0,315018789685111
bl;-0,255779565044902
lo;-0,436649364938886
gs;-0,00276735748108969
sp;-0,298902611278114
po;-0,29199952620981
as;-0,0901920340714852
um;0,0988465235501441
mb;-0,14262995726071
so;0,110742678535028
oh;0,271820448877806
im;0,0315621557977894
mg;0,747365558501598
gu;0,254054711986124
mi;-0,0427594718807347
cr;-0,00317166644641209
ro;-0,229439367745122
os;-0,0914013428633311
of;0,393461305602051
ap;-0,197509120644106
pp;0,221931937705697
pl;0,06381362935829
xv;0,798225435425567
vi;-0,284211268350281
eo;0,522056762766017
ne;-0,318087242197481
et;-0,0611341099451237
tf;0,338883602917856
fl;0,140781311127256
md;0,574589438489527
fc;0,633134209478295
ab;-0,0290433170184782
36;-0,0180878552971576
ko;0,131917791259131
ov;0,0989287627209428
